ปี,หมายเลขบ่อน้ำบาดาล / หมายเลขอื่น ๆ,สถานที่ตั้งบ่อ,จังหวัด,อำเภอ,ตำบล,ความลึกของบ่อ,pH,EC,ความขุ่น,สี,แคลเซียม,แมกนีเซียม,โซเดียม,โพแทสเซียม,เหล็ก,แมงกานีส,ทองแดง,สังกะสี,ซัลเฟต,คลอโรด์,คาร์บอเนต,โบคาร์บอเนต,ฟลูออไรด์,ไนไทรต์,ไนเทรด,ความกระด้างทั้งหมด,ความกระกระด่างถาวร,TDS,สารหนู,ตะกั่ว,แคดเมียม,โครเมียม,ปรอท,ซีลีเนียม
2563,6109G026,บ้านอู่ตะเภา ตำบลกระแจะ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,กระแจะ,30,6.4,"1,290",-,-,150,37,36,2.8,12,2.0,0.0,0.2,26,320,0,140,0.1,-,< 0.9,540,420,838,,,,,,
2563,6309H003,บ้านหนองหงส์ ตำบลสนามไชย อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,สนามไชย,98,7.7,473,> 20,-,65,18,16,0.88,0.0,0.0,0.0,0.0,< 1,4.4,0,300,0.1,-,15,240,0,307,,,,,,
2563,6109D015,บ้านปากทางแทรคเตอร์ ตำบลวังใหม่ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,วังใหม่,62,6.8,258,-,-,20,9.8,26,0.58,5.7,0.5,0.0,0.0,2,4.0,0,168,0.3,-,< 0.9,90,0,168,,,,,,
2565,5909F028,บ้านใหม่ชัยมงคล ตำบลทับช้าง อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทับช้าง,-,7.7,"1,070",4.1,-,36,40,180,0.57,0.3,0.0,-,-,31,53,0,601,0.8,-,3.1,260,0,696,,,,,,
2565,5909F028,บ้านใหม่ชัยมงคล ตำบลทับช้าง อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทับช้าง,-,7.6,"1,170",3.3,-,42,47,180,0.52,0.2,0.0,-,-,32,51,0,630,0.8,-,3.3,300,0,760,,,,,,
2564,PGS010,อบต.วังใหม่ ตำบลวังใหม่ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,วังใหม่,,7.3,422,-,-,61,12,22,1.2,0.0,0.0,0.0,0.0,8,15,0,305,0.2,-,< 0.9,200,0,274,,,,,,
2568,6509B005,เทศบาลตำบลปัถวี  บ้านคลองเวฬุ ตำบลปัถวี อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ปัถวี,-,6.8,300,16,-,43,5.6,19,1.8,3.8,0.5,0.1,1.0,5,2.0,0,182,0.2,0.00,18,130,0,195,,,,,,
2565,6409E008,บ้านคลองหลอด บ่อที่ 3 ตำบลท่าช้าง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,ท่าช้าง,62,5.4,142,1.4,-,3.5,0.2,29,0.65,7.0,0.0,0.0,0.1,2,33,0,22,0.0,-,< 0.9,10,0,92,,,,,,
2564,6409E008,บ้านคลองหลอด บ่อที่ 3 ตำบลท่าช้าง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,ท่าช้าง,62,7.9,433,-,-,12,7.8,73,4.3,3.4,0.2,-,-,13,61,0,171,0.2,-,0.9,61,0,281,,,,,,
2564,6309A066,บ้านห้วงปลาดุก บ่อที่ 4 ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,,6.9,198,-,-,1.8,3.6,41,0.50,0.2,0.3,-,-,9,22,0,75,0.4,-,< 0.9,19,0,129,,,,,,
